P45985	Q14315
P78310	Q01844
P48059	Q96KQ7
O15372	Q9P2A4
Q7Z6G3	Q8IYF3
Q15645	Q9NRQ2
Q92997	O95251
Q9NVV9	Q9H9D4
Q01844	P81877
P07910	Q86SE5
P10451	Q8WYA6
O00444	Q5JR59
Q15654	O43639
O43186	Q8TC57
P48552	Q8IYF3
Q9BQ66	Q8TAU3
P23297	P23297
O15162	Q9BTL3
P00492	Q96HA8
P49366	P32969
Q15911	Q9Y2I6
Q13643	Q13155
P78337	Q93062
Q99598	Q96AQ6
P84101	P61289
P51116	Q13137
Q01844	P49821
P21673	Q9ULA0
Q15006	Q9Y3B6
O14641	Q8N684
P17028	Q9NWS9
Q99750	Q96HB5
Q13643	Q96RN5
P50222	Q9Y512
O15162	Q9H1Q7
Q15645	Q8IVS8
O75340	Q8NDC0
Q96BY6	Q96LR2
P49368	O60232
P14209	Q9UMX0
Q92624	Q9H1J7
Q9UJ70	Q8TBB1
Q13137	Q7L590
Q12929	Q13155
Q7Z6G3	Q7Z6G3
P05783	O95751
P08727	Q8N6Y0
O15162	Q9BQ66
O94868	Q15834
Q16637	Q96PV6
O75558	Q9BQD3
Q01844	Q96FJ2
P30281	Q96EV8
P21673	Q96F10
Q12933	Q9UI26
O94855	Q15437
P57077	Q8N5C8
Q15834	Q9NS73
Q9NP79	Q53G59
O15162	O60269
Q8TBB1	Q8WZ19
O96006	Q6ZVK8
Q96GY3	Q8IYF3
Q8TBB1	Q96M61
Q8WXE1	Q8IY31
Q15637	Q93062
O60269	Q9BQ66
Q9BT49	Q9BQ66
O76083	Q96FC7
P43364	Q9NXH9
Q99750	Q9H9D4
Q9Y2I6	Q9BSW7
P30281	O95967
O43683	P46108
O95273	Q9HCZ1
Q96GX9	Q8TBB1
P49639	Q9BQ66
Q9Y2X8	Q86UW9
Q99750	A8K8P3
P56279	Q7L7L0
Q12933	Q9BQA5
Q9BQD3	Q96D59
Q8N5Z5	Q8TBB1
Q15906	Q15834
Q92841	Q8TBB1
Q9Y2X8	Q9BV68
Q12933	O75604
P31947	Q12788
P19012	Q9BVI4
P60520	Q9GZZ9
O94972	O43663
P52306	Q9Y4E5
O14978	Q8WV44
P19012	Q9BTA9
Q9H204	Q8N6Y0
Q96EZ8	Q15834
O43281	O75865
Q9H9D4	Q86SE5
O15155	Q8N6Y0
Q01844	Q8N6R1
P43364	Q9BXY8
P56597	Q96IM9
Q13137	Q2VPB7
Q15311	Q96ED9
Q12933	Q9C0A6
Q12933	Q969F0
Q9NVV9	Q6EEV4
O60504	Q6UY14
P43364	Q9BQ70
P26641	Q12905
P08670	O00151
P35638	Q9BTE3
Q9Y2J2	Q9NS73
O14639	Q9Y3Q8
O76064	Q15834
Q13643	Q6UY14
O14964	Q8N5R6
Q6IA69	Q96JP2
P22234	P22234
Q12983	P17152
O75971	Q16520
Q9BQ66	Q9BXY8
Q9UMX1	Q9NWS9
P56545	Q15583
P13805	Q96E35
O14964	Q9BUH8
P33993	Q9NS73
O94972	Q6ZU52
P43364	Q96T60
Q14576	Q01844
Q9BUY5	Q8NHQ1
Q9UHY1	Q9Y3Q8
P61952	Q9Y2J4
P49674	Q9Y620
Q9Y3Q8	Q8TBB1
Q13643	Q14847
P26378	Q01844
O14641	P04637
P32929	P32929
Q9UJ70	Q9UJ70
O60941	Q9NRG1
P78337	Q9BQY4
Q96MF2	Q96MF2
Q8N6Y0	Q8N6Y0
Q9BRK4	Q9BQY4
P43364	Q8TDX5
Q08379	Q14134
P17509	P19012
P55735	Q96JE7
Q96EZ8	Q9NPJ6
P19012	Q9P1Z2
O14964	Q96LR2
Q9UMX0	Q9NPQ8
Q96PP8	Q96PP8
P27658	O95967
P63010	Q7Z3B4
Q9Y230	Q9BVM2
P51808	P51808
P56279	Q13137
Q13287	Q8N4P3
Q13200	Q8WVY7
O14978	P57086
P49760	P49761
Q99750	Q8TAU3
P51116	O95751
Q9H190	Q9NZ81
P32321	Q6ZVK8
P25791	Q96KQ7
P63279	O14964
Q99708	P51116
Q14376	Q14376
P61978	O75525
Q16718	Q15834
P63279	Q9Y620
Q7Z6G3	Q7Z3B3
P63010	Q9NYB0
P81877	Q9UBH0
O14641	Q12933
Q9UI14	Q96C03
P14923	O00221
P19012	Q96HB5
Q12983	O60238
O75427	Q99750
Q96GT9	Q96KQ7
O00167	Q93062
Q16594	Q14919
Q13137	Q13137
Q9Y620	Q8N8B7
Q99750	Q8WXS3
P43364	Q8TAP6
Q9NS73	Q9H8W4
P49910	Q9BQ66
Q8TBK6	Q7Z7J5
Q8N612	Q96HR9
P43364	Q8N8B7
Q9UGJ1	Q8N6Y0
O75971	P46736
Q99816	Q53EZ4
P28702	O43791
P14317	Q9H788
P43364	Q96JH8
Q15834	Q8IYI6
Q01844	Q6PJW8
O14576	Q9NP97
Q9Y2I6	P13994
P49910	Q86V42
P36382	Q9Y312
Q15645	Q9NZF1
P63261	P60981
O75525	Q5VWX1
Q14566	Q8WYH8
O14641	Q93062
Q13643	Q15654
Q8NEF3	Q96LR2
Q9BVJ6	Q15834
Q92530	Q8N7W2
P19012	Q8TCX5
Q92997	Q9H9D4
P61457	Q9H8Y8
Q13137	Q14296
O14641	Q9H0I2
P60891	P60891
P51116	Q14134
P19012	Q7LC44
P51116	Q8N5R6
O95391	Q15834
Q15645	P30039
P14136	Q5T2W1
Q05516	Q8TC92
Q9UI26	Q9BRC7
Q14011	P38159
O95967	Q9BUY5
O43251	Q96MA1
Q99750	Q03518
Q9Y5P4	Q13352
Q7L190	Q7Z7J5
O14641	Q96BN8
Q13490	Q12933
Q15645	Q9GZT8
O60269	Q96FJ2
O75340	O75340
Q96KQ7	Q9Y4X4
Q9BSL1	Q16630
Q96E93	O95214
P07902	Q15645
O43924	P54725
O15162	Q92734
Q15555	Q9UPY8
P43364	P14373
O94972	Q96EZ8
Q01844	Q8N684
Q99750	Q8NE01
Q9NS73	Q6UWS5
P43364	Q9H788
Q9Y5P6	Q96IJ6
Q14847	Q99750
O95990	Q9BQ66
Q9Y2I6	P15622
Q13643	Q9BTD8
Q13191	O60504
P51116	Q9NS73
Q9BVI4	Q8N6Y0
O15162	Q9NQX5
Q99750	Q9P2T0
Q05516	Q9BQ66
P63279	Q14134
P19012	Q6ZVK8
O95391	Q9H2H8
Q8N2M8	Q9BQY4
O43765	Q9H2B2
P22234	Q6ZVK8
Q15654	Q96I34
Q07002	O75909
Q13541	P0CG12
Q9Y6D9	Q14134
O75604	Q9BUH8
O15162	Q8TC90
Q9Y580	Q9NP66
P33316	Q6ZVK8
P10644	Q9ULZ3
Q96KQ7	Q8N5R6
Q8N5Z5	Q8N5Z5
O14777	Q9Y2J4
Q9BQ66	Q9BYR7
O95967	Q8TCX5
Q96HC4	Q9HCM9
P15104	P15104
Q12933	O95201
Q15645	Q96HA8
Q92997	P78337
Q9Y3Q8	Q8WVY7
P19012	Q9Y2J4
P19012	Q14533
O14978	Q9H8W4
Q12929	Q96ED9
Q13227	P57077
O14639	Q96ED9
Q15038	Q13137
P27987	P61289
Q99750	Q9ULA0
Q13287	O75971
P19012	Q8WW24
Q12933	O95990
Q01844	Q99750
P22234	Q8TBB1
P43364	Q9UNH6
O43189	Q9NVV9
Q05516	Q8NHQ1
Q01844	Q96QG7
O14976	O60763
O43791	O95197
Q96HA1	Q93062
P61077	Q9BV68
Q6UY11	Q9BQ66
Q01844	Q86SE5
Q59EK9	P0C1Z6
Q01844	O00330
O43663	Q15834
Q8N6Y0	Q8IYI6
Q14558	Q9H8W4
Q14566	P42568
P31947	Q15884
Q9H773	Q9H773
P61978	O60504
P19012	Q9NYB9
Q14088	Q9NQC3
P06753	P0C1Z6
Q9P2A4	Q9C0F1
Q9UHX1	Q9UHR5
Q9Y620	Q8TBB1
Q96EY1	O15209
P24666	Q9UHJ3
O94972	Q96KB5
P49902	Q86TA1
Q7Z6G3	Q9BVI4
Q9BVJ6	Q96ED9
Q9UKJ5	Q8NEC5
Q15834	Q9Y3A3
Q15645	Q9BYR7
Q15027	Q0D2I5
P61457	Q96HA8
Q9Y297	Q9C026
Q01844	Q16558
P62857	Q9BQ66
P51116	P35900
O15481	Q8IY81
P10398	Q53G59
Q9BQY4	Q9BQY4
O60941	Q8ND30
Q9BQ66	Q96FE5
P49901	O15162
Q8IXK0	Q9UHJ3
P63279	Q9Y4E5
Q96EV8	Q9BY27
P61978	P63279
Q9BQD3	Q96MT8
P40692	O94941
Q92551	Q15024
Q15654	P18206
P41226	P05161
O15294	Q9H1M0
P49639	Q15654
P49321	P68431
P43364	Q9H204
P49902	Q9BVI4
P19012	P62195
P78364	Q8IXK0
Q15834	Q9NYH9
P43364	P0DPB6
P51606	O96006
O43639	P51116
Q9BQY4	Q96A09
Q13137	Q7Z3B3
Q6ZU52	Q9H257
P49910	P15622
O76071	Q9H5X1
P19012	P41219
O43597	Q9BQ66
Q14134	Q96JP2
Q12982	O43889
O43639	Q8N684
Q8NA61	Q8NA61
Q13748	Q13287
Q14966	Q96ED9
P62191	Q13200
Q12933	Q96CG3
Q9NPJ8	Q9H4D5
P35249	P40937
Q15637	P26368
P60891	Q14558
P11234	Q15311
P29034	P29034
P61244	P50539
Q07817	Q13323
P11802	P42772
P63010	Q9Y6Q5
O75886	O95630
O75558	O00161
Q9H840	Q8WXD5
P12814	Q9NP98
Q08379	P61019
Q06587	Q8N488
Q92783	O14964
P49736	Q14566
P98170	P55211
P63279	O75928
Q16611	Q07817
P15531	P15531
Q9UBU9	Q9UKK6
Q13867	Q13867
P30281	P11802
P30626	P30626
O15217	O15217
Q06455	O43439
P30281	Q7L590
P33993	P33993
Q13439	P40616
P61978	Q9BTC0
O95251	Q96BR9
Q8TBB1	Q96BR9
O00308	Q9BTC0
Q8NHQ1	Q96BR9
Q96BR9	Q96BR9
P62826	Q9Y2L1
Q9Y2L1	P18754
P61204	Q9UJY5
O60296	P63252
P18848	P19387
Q04656	P35754
P35670	P35754
Q13426	Q13426
Q13426	P49917
Q9H9Q4	P49917
P00749	P05121
Q8N0X7	Q71U36
P19438	P63165
P10415	O00198
P10415	P55957
Q92843	P55957
Q07820	Q96LC9
Q07820	Q13323
Q07820	O00198
Q16548	Q13794
Q16548	Q13323
O43521	Q07817
O43521	Q07820
Q96PG8	Q07817
Q13323	Q07817
P24941	P46527
Q9Y6K1	Q13105
P10415	Q14643
P29590	Q13569
Q15831	Q7RTN6
Q7Z2E3	P09874
P35240	Q96HU1
Q96HU1	P35240
Q8WX92	P05412
Q9H5J8	P06746
Q9H081	O95229
Q9H081	Q9BZD4
P00533	Q06124
P00533	P46108
P00533	Q13191
P04626	P62993
P21860	O00459
P21860	P29353
Q15303	P62993
Q15303	P16333
A5D8V6	Q9UK41
A5D8V6	Q99816
P51884	P16112
Q96IY1	P45973
Q08752	P08238
P00533	P40763
Q01081	Q8TA86
Q05516	Q13547
Q05516	Q92769
Q05516	Q9UBN7
Q9UQL6	Q05516
Q96EP1	P29590
P42345	Q8N122
Q8N122	P42345
O14776	Q12874
O14776	Q15427
O14776	P26368
O14776	Q9UBS3
O14776	P67936
O14776	P06748
O14776	Q15365
O14776	P31943
O95983	O95983
O95983	Q9UBB5
Q9UBB5	Q8WWY6
Q53ET0	Q9H0K1
Q15020	Q9UK45
Q15020	O43395
P61981	P33176
Q9NVP2	Q8TEX9
Q9UJU6	O95714
Q9BRP4	Q13200
Q96DI7	O75643
P78543	A5YKK6
Q9UNM6	Q13200
P31946	P33176
Q15287	O75643
Q9UNM6	O00232
Q9UNM6	Q99460
Q9Y2Q3	P42704
Q96T60	P49917
P61981	Q9UBF8
O94817	Q9H2U1
Q9NPH0	Q13418
O75832	Q13200
Q96T60	P49916
O00182	P35222
O75832	O00231
Q15287	Q9UL63
Q9UHX1	P10155
P31946	Q9Y4H2
Q9NVP2	Q9UKI8
Q9BRP4	Q99460
Q9UBE0	Q9UBT2
P62330	P46940
P63104	P33176
P62330	Q14204
Q9HC98	Q8TD19
O00115	Q9Y230
Q9BRP4	Q9Y315
P31946	Q9P0K7
Q13418	Q9NPH0
P43686	Q13200
P23508	O43815
P53680	P50053
P23508	Q9Y6E0
O75352	Q15014
P31946	Q5PRF9
Q9BRP4	P43686
Q9UJU6	Q13227
Q15654	P07237
Q05639	P29692
O95400	O94906
Q15287	Q6P2Q9
Q9Y6E0	Q13033
Q14240	Q53EL6
Q9P1U1	O15144
Q15287	Q9Y383
Q9NY93	Q9BQG0
Q14240	Q9Y262
Q9NSA3	P16278
P62140	Q15435
Q12834	P78386
Q9HC98	Q32P44
Q9UNM6	P43686
P61981	P15056
P63279	P49792
Q14164	Q6XUX3
P26441	O75716
O75832	O60496
Q9P1U1	Q92747
P11171	P35579
P32121	Q14978
P23508	Q13033
Q06609	P41214
P25942	Q9NYU2
Q15008	P62191
Q96T60	P18887
O75832	P17980
O75365	Q9HAV4
Q14164	P07814
Q99623	P35222
Q15008	P35998
Q15008	P17980
Q15287	Q9H7Z3
Q13617	P07237
P32121	Q13428
Q15287	Q9UHI6
Q13418	Q9H583
P23508	Q9NRL3
Q9Y5J5	Q86Y56
Q14152	P60228
Q14240	O15372
Q16611	O94915
P23508	P07814
Q12974	P49354
Q9NS64	Q13616
Q9UNS2	O14832
O75832	P35998
Q9ULA0	Q15323
Q9UHX1	Q9BQ52
P32121	O00203
P78396	Q8N163
Q9HC98	Q93008
Q9UIM3	Q9UBE0
P62491	Q6WKZ4
Q9Y6E0	Q9NRL3
P23508	P30153
