Q86TC9	P35609
P35638	Q9BPX1
P55198	Q96RN5
P53992	Q15437
Q13526	Q9Y3Q8
P08727	O14964
P63261	Q9Y281
O76083	Q13049
Q01844	Q5VWX1
Q14847	Q15645
Q13426	Q0D2I5
Q9H6L4	Q8WZ19
Q9NZD8	Q53H80
Q8WU10	Q96BW1
Q9BPX1	Q96HA8
Q99750	Q14213
Q13409	P51808
P43358	P14927
Q99750	Q9BUY5
O75604	Q96ED9
Q9GZT8	Q8N7W2
Q9Y2I6	Q8N5R6
Q96QU6	Q96QU6
Q8TC92	Q9GZT8
Q9Y6D9	Q9Y2I6
P38159	Q8N5R6
P43364	O14548
Q15834	Q9UGJ1
Q14061	Q9BW62
Q01844	P49327
Q99750	P19634
Q6ZVK8	Q96CG3
P23297	P25815
P67775	Q15645
O14964	Q5VSY0
Q16851	O95376
O15162	Q9GZM5
P08727	Q9NYB9
O60269	O43597
Q8TBN0	Q6ZVK8
Q13137	Q8N2W9
O95967	Q9NRQ2
Q99750	Q99750
Q12933	P51116
Q12906	P43364
P13805	Q15834
P51116	Q86SE5
P43686	P62195
Q01105	Q9BT49
Q15654	Q5VWP2
Q12933	Q9UM82
O95251	Q96ED9
Q9NZQ3	Q96MA1
Q9Y3Q8	Q9H0I2
O76064	Q9C0F1
Q96CW1	P51116
P12814	Q13426
Q9UI36	P63279
Q15645	Q15013
O75525	P38159
P14136	O00151
P25786	Q13137
P63279	Q8IVD9
P84243	Q96KQ7
Q8TBN0	Q8TBN0
P14136	Q6ZU52
P63010	Q9BXS5
Q99750	O60269
P63261	P23528
P43364	P42330
Q15834	Q8TES7
Q15154	Q8WYH8
Q12933	Q92530
Q8TBE0	Q9BUH8
O14978	O95967
P98175	Q86V42
P15407	O95751
P26599	Q13137
Q15834	Q9HAF1
Q12933	Q9NZD8
Q9P1W9	Q9NTM9
Q92530	Q96C03
P61289	Q64LD2
Q9NNW5	Q9H3Q1
Q15427	O75177
Q86U70	Q9BWG4
Q99816	Q6UWE0
Q96EZ8	Q9C0F1
Q96CW1	O14641
Q96QU8	P37198
Q12846	O75379
P35900	P35900
P46976	Q96HA1
Q15645	Q96FJ0
Q99750	Q8WUT4
Q99418	Q96HB5
P38936	Q8IYF3
Q15834	Q9BXY8
P60709	P60981
P29972	Q99750
Q9BVJ6	Q9Y2I6
Q9NP79	Q8WZ19
P43364	Q96EZ8
Q12933	Q8TBB1
Q99750	P55055
P01871	Q9P209
Q9NP79	Q7Z6G3
Q12906	Q15654
O14641	Q8N4T4
O95751	Q7L190
Q16665	O60224
P36575	O14641
O43189	Q93062
Q93062	Q93062
P49247	Q9NP79
Q99750	Q8IYX0
P43364	Q7Z614
P61978	P43243
P04899	O15162
P08727	Q15154
Q15834	Q7L5A3
Q01844	Q9Y2I8
O43809	Q9GZT8
O75525	Q8TBB1
P63279	O43353
P17040	P57086
P53365	Q96EV8
P11802	P55273
Q9BVK8	Q9P2A4
P46379	O95967
Q9UI14	Q9NZD8
O43395	Q969Y2
P60953	Q00587
Q8N5H7	O43281
P07910	Q15834
Q8IYF3	Q9Y3Q8
Q99750	Q8TC90
Q7Z6G3	Q9BY27
P43364	O14832
P49366	Q6ZVK8
Q15834	Q9NXE8
P62258	O60269
Q9UPT5	Q8WWV3
Q6ZU52	Q9BUH8
O43251	Q9BQY4
O14964	Q8IYI6
Q01844	Q16630
P33993	Q9Y5S9
P31947	O00444
Q96GM5	Q8N6Y0
P09913	O14879
Q15038	Q9P0T4
P21673	Q9Y3Q8
O60941	Q12933
Q15102	Q8TBB1
P53816	Q9UMX0
P50552	Q96MA1
O60547	O60547
Q9UQ90	Q9BQ66
P52306	Q9NS73
Q01844	P56278
Q08379	Q9UGJ1
Q92624	Q96S15
Q01844	O00295
P05161	Q9UMW8
P48552	O95751
Q15910	Q15834
P60880	O75558
Q9NWX6	Q8N336
P09493	Q9BQD3
O14641	P26368
P83876	Q8TAI7
Q96AQ6	Q7Z7J5
Q14005	Q8N6Y0
Q9UJ83	Q96E35
Q9Y2I6	Q9BRK4
Q99750	Q9BR84
P49247	P49247
Q15345	Q93062
P29353	Q13137
Q96GX9	Q6ZVK8
P49639	Q9UKJ5
Q9NWT6	Q8TES7
P31947	P27448
Q9BQD3	Q8IY31
P18848	Q9BQ50
Q15834	Q8N715
P45984	P24278
Q9Y2I6	Q7Z3B3
P61978	Q9BTD8
Q15906	Q13137
P32321	Q8TAP6
O75909	Q93062
Q9BQ66	Q8N715
Q8TES7	Q8IY31
O60232	Q8N5R6
P43364	Q9Y6M9
O75604	Q15834
P43364	Q9NP98
P46379	Q53G59
P54725	Q96S82
O15162	Q8WWR8
Q13257	Q9Y3Q8
P49407	Q14749
P62854	Q969E8
P25786	Q13287
Q12933	Q8N5R6
O95198	Q53G59
Q99961	Q9H788
Q01844	P16860
O75800	Q9Y3Q8
Q9NSA3	Q7L4P6
Q6ZVK8	Q8WZ19
Q06547	Q8TAP4
P61964	Q9NS73
Q8N5R6	Q8N6Y0
Q9NVV9	Q8N5F7
Q86SE5	Q86SE5
P02538	Q15834
Q8IUQ4	Q9UHB7
Q9UJX2	Q93062
Q14749	Q6ZVK8
P49247	Q9GZT8
Q15834	Q96C24
Q14558	Q14558
Q9UI14	Q8N612
Q9NS73	Q9BY27
Q12933	Q86TN4
P63279	Q9UKT9
P19012	P08727
Q02218	O15162
Q96CW1	Q59EK9
P26367	O94829
Q9Y2I6	Q9BTE1
Q01844	Q15906
O96019	Q01844
Q99750	Q13526
O14964	A9UHW6
P60520	Q9BXK5
O00444	Q5VWP2
Q9Y2I6	Q9UJ04
Q96CN9	Q8TES7
P51668	Q9BV68
Q9BVJ6	Q8NHQ1
O14978	Q9NWS9
P48059	O60711
Q15475	Q15834
P31947	Q96HA8
Q15834	Q7L8L6
Q9BQ66	Q8NDP4
Q99708	Q8IV36
Q14005	O60232
Q15834	Q96HB5
Q96QU6	Q8TES7
Q14966	Q9BQ66
P43364	P58340
Q13137	Q96ME1
Q92844	Q5D1E8
P63010	Q5SW96
O95197	Q9NQC3
Q9NYB9	P35900
Q9P209	Q8TBB1
Q01844	Q9UEE9
P19012	Q9P2A4
Q99750	Q96HA8
Q15025	Q96M61
Q9UI14	Q8TBB1
P31269	Q93062
Q8TBN0	Q96QF0
Q15834	Q8N302
O14576	Q96FJ2
Q9BY43	Q9BSW7
P15531	O15160
Q7Z7J5	Q7Z7J5
Q9NQZ6	Q9BQD3
Q9NZD8	Q96QG7
Q01844	P49910
Q0D2I5	Q96D59
Q99750	Q96C28
Q01844	Q96AX2
Q7Z6G3	A4D1E9
P45973	Q9BWN1
Q9UMX1	Q96D15
O95967	Q96FE5
Q9Y5B8	Q9BT92
P50552	O60936
O95201	Q13137
Q9UJ83	Q9UJ83
P02538	P19012
P26368	Q96LR2
Q9H8S9	Q9BQD3
Q9Y467	Q8NF64
O14641	Q8WTU0
P24278	Q9BQD3
P35900	Q6PJT7
P17482	Q99750
P43364	Q05516
Q93045	Q8IYF3
Q15038	Q9BVI4
Q05516	Q9NP79
O14639	O95751
Q99750	Q969U6
Q99750	P48378
P15531	Q9H8Y8
Q15038	O43251
Q14134	Q96CN9
P08670	Q96GX9
Q14566	Q9BWG6
P19474	Q9GZT8
P02538	Q04695
Q12933	Q9UQN3
Q15561	Q15834
Q6UY14	Q9BQ66
Q9UHV2	Q9P2K6
P84101	Q93062
Q99750	Q3YEC7
P08727	Q14966
Q12933	Q6FIF0
P05783	Q8IYI6
Q15834	Q8TAP4
P62195	P35398
Q9Y312	Q56P03
O95967	Q9H5Z6
Q96E35	Q8WZ19
P29692	P26641
Q9UBZ4	O95967
P46108	Q7L190
P30279	P38936
Q9HCM9	Q9BRC7
P57086	Q9NX65
Q13137	Q9UKA9
Q01844	Q9H094
Q8N5F7	Q8NHQ1
P08670	Q9UGJ1
Q13155	Q8TBB1
O60232	Q9NP79
Q7Z6G3	Q9P2K3
Q9UBU8	Q96HT8
Q15154	Q8IYI6
Q9NR21	Q969Y2
A8K8P3	Q9H446
O96006	Q86YR5
Q9NP79	Q7Z7J5
Q9UNY5	Q9NWS9
Q14687	Q9P2K3
O14978	Q9NZD8
Q9UI14	Q9UNI6
Q9H267	Q9H9C1
Q15555	Q9GZT8
Q92569	Q14919
P51808	Q96BS2
Q99750	Q9UQ90
P07910	P51116
Q9UJX2	Q9Y3Q8
Q9UHX1	Q9UHX1
Q9P209	Q8TAU3
P14136	Q96HL8
Q99750	P52737
P63010	Q9NVZ3
P53618	O94972
P25791	Q15038
Q7Z6G3	Q8TBB1
Q92624	Q15050
P60891	Q9NZD8
Q9NYH9	Q9BQD3
P08651	Q9H0I9
Q6ZVK8	Q9BQ66
Q01844	Q9HC44
Q9NVE4	Q8N6L0
P51116	Q9BQD3
Q15834	Q14966
P50402	Q8N7W2
Q9UI14	Q6ZVK8
Q5T5P2	Q9NQT4
Q96D15	Q8IV36
Q9UJW3	Q9UHA3
Q12933	Q8TBE0
P49674	O14641
O14641	O43395
P24534	P26641
Q01844	P46926
P50552	O00308
Q12846	Q15836
O00161	O76038
Q9H9D4	Q8NHQ1
O15162	O43597
Q96AT9	Q96AT9
Q00587	Q9BQ66
Q99750	Q8NEC5
Q15834	Q86SE5
Q6ZVK8	Q96CN4
O43639	Q9NZQ3
Q9UKW6	P62244
Q9H446	Q6ZVK8
P40692	Q96NE9
Q15645	Q96JB6
O75716	Q8N5Z5
P19012	Q9BY27
P25786	P08670
P62258	O75791
Q15834	Q96N46
P63279	Q9H444
P61601	Q86UW9
Q9UL45	Q8N302
Q9NRQ2	Q9BQ66
P62195	P13805
O75886	Q969R5
Q9Y5P3	Q96EQ0
P50222	Q9BQ66
Q8NFT6	Q9BQ66
O14641	Q8TBE0
O96006	O60504
P61289	P61289
Q15834	Q9BWG6
P24278	O60504
Q4U2R8	Q92624
P46108	P62333
P62829	Q9P287
Q15834	Q9UII6
P12277	Q8N6R1
Q96ED9	Q8N5R6
P43355	P14927
Q9Y580	O75525
Q99750	Q9NQX5
Q86U70	P81877
Q15038	Q9BQY4
Q93062	Q9BTL3
P33552	Q9Y3Q8
Q16828	Q8IYF3
P43358	Q86WT6
P42568	Q92624
Q99750	Q14781
Q8IYF3	Q5T5P2
Q96ED9	Q9H8T0
Q9NQX5	Q9BQ66
Q9NYB9	Q8IY31
P50552	Q9C026
Q00796	Q00796
P61978	Q5VWX1
P17028	Q9NX65
Q01844	Q96M83
O43809	Q16630
Q13021	O43889
Q01844	Q9Y676
Q96GM5	Q13137
P51116	P38159
Q15233	Q9P1U0
P25786	Q15834
Q7L590	Q7Z7J5
Q12933	Q9BRK4
Q01844	Q9H467
O95990	Q96ED9
O14879	O14879
Q8N5R6	Q9Y3Q8
P41220	Q9Y2I6
P36406	Q9P0T4
Q9UJ41	Q9BQD3
Q13137	Q9H0I2
Q9HC98	Q7Z6G3
Q99447	Q8N371
P48552	Q8NHQ1
Q99750	Q8IYI8
Q9GZT8	Q96MA1
Q8IYF3	Q9BT92
Q15233	Q15233
Q06455	Q7Z6G3
Q9UBX3	Q9BQ66
Q9BPX1	Q9BPX1
P49902	P49902
P45381	P45381
P10644	Q9H8W4
Q86U70	Q9H0E2
Q15834	Q9H0I2
O76003	Q6FI81
O95639	Q6UN15
P19012	O95990
P56545	P48552
O95251	Q8WZ19
Q9NR46	Q5M9N0
Q9BVI4	Q9Y3Q8
P52272	Q9BQ04
O60941	Q9BUH8
Q01844	Q7Z6B0
O94972	Q7L590
O95990	Q9BUH8
P55345	Q96MA1
Q16526	Q12933
Q15834	Q8NHQ1
Q13191	O43639
P49321	Q71DI3
P30279	P46527
P43364	Q96CB9
P42224	Q8N9N8
Q99750	Q5TA45
Q96HA1	Q8IYF3
P55345	Q8N684
Q53H80	Q8TBB1
Q01844	O94972
P51116	Q9Y2J4
Q9UJ70	Q5M9N0
O15162	Q9NRY6
Q93062	O43251
Q15038	Q8N9H8
Q99750	Q9P0T4
Q01844	Q9Y2I6
Q92624	Q12788
Q9C005	Q8WWB3
P49639	O75865
Q92530	Q15834
O15162	Q6UY14
Q9UMX0	Q96C03
P61225	Q59EK9
P55036	Q8NHQ8
Q96H20	Q9GZT8
P37198	Q9NVV9
O95817	Q9UJY1
Q01844	O95336
Q9UGJ1	Q8TES7
Q9Y2J4	Q9Y2J4
O60238	P17152
P53567	Q6EEV4
Q9Y2I6	Q8N8B7
P38936	Q15834
Q9Y6D9	Q96AQ9
Q15834	O95751
Q99750	Q96H86
Q99594	Q9GZV5
Q99750	Q8N715
Q09161	O75150
P25963	Q96HA1
P07992	Q96S82
P51116	P49247
P46527	Q12933
O14777	Q8N6Y0
P62495	Q14145
Q8NHQ1	Q7Z3B3
O94972	Q6ZVK8
Q9GZT8	Q9BQD3
O75909	Q9BQ66
Q13572	Q12933
P43364	Q49A88
Q93062	Q8WWR8
Q13137	Q9H9D4
Q9P2Z0	Q96FJ2
Q15645	Q9NTN9
Q9P0T4	Q9BQ66
Q01844	Q13485
Q93062	Q9NQ87
Q06547	Q8NHU6
Q92997	Q7Z7J5
Q9BUX1	Q9BQY4
Q92997	Q8TBB1
P61978	P38159
P25786	Q8N5Z5
Q92997	P10074
Q12805	O43765
Q9BQ66	Q5HYJ3
Q96KQ7	Q8TBB1
O15287	Q8N6Y0
O75909	Q9NP66
Q15834	Q8NE31
Q8TBK6	Q9NVV9
Q9GZM5	Q9BSR8
P19012	Q14966
Q9GZT8	Q9Y3Q8
Q9Y6D9	Q9Y2J4
Q99750	O43439
Q01844	Q9NQA5
Q99750	Q8IZC7
Q92824	Q92624
Q12933	P13994
P62191	Q15834
O15162	Q96H86
Q15834	Q9H257
Q14966	O95967
Q8N5Z5	Q8N456
Q93062	Q8NE01
O15287	P08727
Q9Y2I6	Q9P2K3
Q15233	Q13526
P29972	Q15654
P60228	Q59EK9
P50222	P01282
O43739	Q9P1Z2
P17028	P57086
P51116	P49902
P61978	Q96PU8
Q5T5P2	Q96CN9
Q01844	O15162
O14641	P15622
O15535	Q9NWS9
O95872	Q15834
O14964	Q9UMX0
P17482	P21673
Q99750	Q8WV24
Q12933	Q8TES7
P37198	Q9H8Y8
Q7Z6G3	Q8N5R6
Q15560	Q12933
P32242	Q9UKJ5
P36406	P15622
Q9P0L1	Q8N8B7
Q15834	Q9H8S9
P07910	P63279
P19012	P25786
P51116	Q5T5P2
P43364	Q15007
Q01844	P42679
Q9Y2I6	Q9NS73
P32242	Q93062
P31947	Q6ZU52
Q9BQD3	Q8N715
Q12933	Q6ZVK8
Q93062	Q9H0I2
Q9BXS5	O95751
P20809	P43364
P26992	O15162
O43707	Q9NP98
P42229	Q9NRG1
Q96IZ5	Q86SE5
O14777	Q9P1Z2
P09467	Q8TBB1
Q13137	Q9UBZ4
Q13287	Q9NVZ3
O95990	Q9Y2I6
P01019	Q01844
Q9HCY8	Q96FQ6
Q9NTM9	Q6ZVK8
P43364	Q8N720
P13805	P51116
Q13137	Q9H0R8
O60936	Q9NVF9
Q9Y6D9	Q9UGJ1
O75558	O75558
Q99750	Q15906
P19012	Q6ZU52
Q15834	Q9H5Z6
Q9NVV9	Q96SI9
Q9UKJ5	Q9H8W4
Q15038	Q86YR5
O15162	Q14966
Q92530	Q9BQY4
O15162	Q05516
Q01844	Q9H5I1
P14136	Q8TAP6
Q16206	Q8TC92
P02792	P02792
P29972	Q15834
Q99750	O95201
Q03154	Q03154
Q9NS73	Q8TAP4
Q9UNH6	Q8IYF3
P18848	P02766
Q96AA8	Q14134
Q12846	P54920
Q15834	Q7Z3B4
P19012	Q15013
Q16637	Q96HA8
O14641	O14641
P26992	Q9BQ66
Q9C0F1	Q8NA61
Q96EZ8	Q9Y2W2
P23511	Q92624
Q92997	O43395
P13798	P53990
Q9UPT5	Q9UMS4
P15531	Q13232
P35998	Q16401
Q12983	Q12983
P32321	P32321
Q9H5V7	Q9H5V7
P40855	P56589
O75791	O95630
Q14749	Q14749
P61978	O43639
Q14134	Q14134
P35520	P35520
Q93088	Q93088
P23297	P04271
P62310	Q9Y333
Q9Y6D9	Q9Y6D9
Q13485	P63279
O15360	O15287
Q13094	O75791
Q16637	Q16637
P53567	P35638
P38936	P12004
Q9Y5S9	Q96A72
P60709	P61601
Q13155	Q13155
Q07817	Q99638
Q09472	Q8N9B5
Q6ZW49	Q96BR9
Q96JP2	Q96BR9
Q96CW1	Q96BR9
Q7L590	Q96BR9
Q9NSC5	O94915
Q07955	Q9BTC0
Q8N554	Q96BR9
Q9BXS5	Q96BR9
Q9H0M0	Q9BTC0
Q9H9D4	Q96BR9
Q9Y2L1	P62826
Q9NY61	P10636
P35754	P35670
P14598	Q9C026
P09038	P18827
Q13794	Q07812
P10415	Q13323
P10415	Q13794
Q07817	P55957
Q07817	Q13794
Q07820	P55957
Q96PG8	Q07820
Q92934	P10415
Q8NHW3	P52945
P01106	Q9Y6K1
Q5TKA1	P06400
P06746	Q9H5J8
Q9H081	Q8NBT2
Q9H081	Q9HBM1
Q9H081	Q9H410
Q9H081	O14777
Q9H081	Q6P1K2
P00533	O75368
P00533	P62993
P04626	P29353
P04626	Q06124
Q15303	P29353
Q9H081	Q13185
Q9H081	P45973
Q9H410	Q96IY1
Q9H410	Q13185
Q9H410	P45973
O95229	Q9H410
Q08752	P11142
P07949	P40763
P54756	P40763
Q8TA86	Q01081
P35240	Q9H204
P56524	Q05516
Q9UBN7	Q05516
P62942	P42345
P21579	Q7L1I2
P21579	Q496J9
O14776	Q15459
O14776	Q13435
O14776	P11142
O14776	Q9HCK8
O95983	Q8WWY6
Q8WWY6	Q13547
Q8WWY6	Q92769
Q8WWY6	Q16576
Q8WWY6	Q09028
Q8WWY6	Q13330
Q8WWY6	O94776
Q8WWY6	Q96ST3
Q8WWY6	Q12873
P57796	O60840
Q15020	O43172
Q14240	Q04637
Q9UFF9	A5YKK6
Q9NVP2	Q8IWY9
Q14164	O75116
Q15170	P51784
P61981	O94915
P61981	Q6WCQ1
O76081	P46459
Q15008	Q99460
O60739	Q14152
Q9BRP4	O43242
O75896	O95757
O43586	P37268
Q15008	Q13200
Q92956	Q9NYU2
Q9Y575	Q93034
Q9NRB3	Q9NYU2
Q05639	P26640
Q14240	Q14152
O43586	P39023
Q9NRG4	P49841
Q15165	Q9Y230
O75832	P62195
O95400	Q9BUQ8
Q9HC24	Q6P1M0
P49841	Q9NRG4
O43660	Q9UMS4
O60739	Q9Y262
Q9UNM6	P17980
P31946	P15056
Q15008	Q9UNM6
Q31612	P55072
Q9UNM6	P62191
Q14240	P07237
P60520	Q8WZA9
O43586	P31939
Q08117	Q04724
O43660	Q99459
Q9NRG4	Q9Y2J2
Q9UHX1	P05455
Q12974	Q8NE01
Q15008	O00231
O75940	P39023
P61981	Q9Y2J2
P61981	Q96F86
P42773	Q00534
P31930	P22695
Q9Y6E0	P30153
O75365	Q8TEX9
O75940	Q2NL82
P49841	Q9UHI6
O14874	Q9Y376
Q9Y2Q3	Q86Y56
Q06609	Q9Y376
P49407	P50053
Q13541	Q9BSL1
O60739	O00303
P51946	P51948
P61981	Q9NSK0
P62140	O14974
P31946	Q9Y2J2
P19532	P53396
P24941	P11171
Q9P1U1	P61160
P43686	Q99460
O95388	Q9NYU2
Q9UKS6	P11217
Q9UNM6	P62195
Q15714	Q9Y2Q3
P52565	P61586
P05452	Q92882
P61981	Q5PRF9
P62633	P39023
Q9UQM7	Q13554
Q9BRP4	O00487
Q9Y2Q3	Q8TEX9
Q9NX58	Q9BQG0
P61981	Q8IUD2
Q15019	Q16181
Q9Y4K3	P58107
Q9UBC1	O14593
P11802	Q16543
Q9H3R5	Q15126
Q9NX58	Q6IBS0
Q14152	O15372
Q15008	P62195
O75365	P28288
O14908	Q9P0V3
Q15287	P19784
O94817	Q9H1Y0
O75365	Q8NE01
O75832	P51665
P61981	Q9Y4H2
Q9NVP2	Q13112
O43427	Q86YS7
Q9Y6E0	Q9Y3A3
P61981	O96013
Q12974	P49356
Q15853	P22415
P62330	P58107
P61981	Q7KZI7
Q9NY93	P82663
Q15287	P67870
P11802	P42771
Q14152	Q13347
Q15287	P26368
P31946	Q9H0H5
